country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","22-09-2026 22:00:00",25.42742023,86.13886079,NH3,2,3,2
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","22-09-2026 22:00:00",24.792403,84.992416,PM2.5,5,377,104
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","22-09-2026 22:00:00",24.792403,84.992416,NH3,0,2,1
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","22-09-2026 22:00:00",24.762518,84.982348,PM10,31,50,41
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","22-09-2026 22:00:00",24.762518,84.982348,OZONE,21,41,33
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","22-09-2026 22:00:00",25.697189,85.2459,PM10,63,122,91
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","22-09-2026 22:00:00",25.697189,85.2459,NO2,7,29,19
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","22-09-2026 22:00:00",25.697189,85.2459,NH3,9,13,12
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","22-09-2026 22:00:00",25.697189,85.2459,OZONE,21,43,30
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","22-09-2026 22:00:00",25.560083,87.553265,NO2,7,11,9
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","22-09-2026 22:00:00",26.1403345,85.3650192,PM10,28,49,36
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","22-09-2026 22:00:00",26.1403345,85.3650192,NO2,1,7,3
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","22-09-2026 22:00:00",26.1403345,85.3650192,SO2,11,27,15
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","22-09-2026 22:00:00",26.1403345,85.3650192,CO,15,39,29
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","22-09-2026 22:00:00",26.11442,85.39813,PM2.5,19,84,56
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","22-09-2026 22:00:00",26.11442,85.39813,NO2,13,32,19
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","22-09-2026 22:00:00",26.11442,85.39813,SO2,4,7,5
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","22-09-2026 22:00:00",26.11442,85.39813,OZONE,11,38,25
